азартный|азартное|азартная|азартные
невообразимый|невообразимое|невообразимая|невообразимые
невыносимый|невыносимое|невыносимая|невыносимые
недопустимый|недопустимое|недопустимая|недопустимые
незаурядный|незаурядное|незаурядная|незаурядные
неимоверный|неимоверное|неимоверная|неимоверные
неистовый|неистовое|неистовая|неистовые
неистребимый|неистребимое|неистребимая|неистребимые
неисчерпаемый|неисчерпаемое|неисчерпаемая|неисчерпаемые
немаловажный|немаловажное|немаловажная|немаловажные
немилосердный|немилосердное|немилосердная|немилосердные
немыслимый|немыслимое|немыслимая|немыслимые
необыкновенный|необыкновенное|необыкновенная|необыкновенные
неограниченный|неограниченное|неограниченная|неограниченные
неописуемый|неописуемое|неописуемая|неописуемые
неоспоримый|неоспоримое|неоспоримая|неоспоримые
неповторимый|неповторимое|неповторимая|неповторимые
неподдельный|неподдельное|неподдельная|неподдельные
непомерный|непомерное|непомерная|непомерные
непостижимый|непостижимое|непостижимая|непостижимые
непререкаемый|непререкаемое|непререкаемая|непререкаемые
непроглядный|непроглядное|непроглядная|непроглядные
непроходимый|непроходимое|непроходимая|непроходимые
несказанный|несказанное|несказанная|несказанные
несметный|несметное|несметная|несметные
несравненный|несравненное|несравненная|несравненные
неуемный|неуёмное|неуёмная|неуёмные
неукоснительный|неукоснительное|неукоснительная|неукоснительные
неусыпный|неусыпное|неусыпная|неусыпные
нечеловеческий|нечеловеческое|нечеловеческая|нечеловеческие
обложной|обложное|обложная|обложные
оглушительный|оглушительное|оглушительная|оглушительные
ослепительный|ослепительное|ослепительная|ослепительные
откровенный|откровенное|откровенная|откровенные
отпетый|отпетое|отпетая|отпетые
отъявленный|отъявленное|отъявленная|отъявленные
панический|паническое|паническая|панические
первый|первое|первая|первые
плотный|плотное|плотная|плотные
повальный|повальное|повальная|повальные
подчеркнутый|подчёркнутое|подчёркнутая|подчёркнутые
порядочный|порядочное|порядочная|порядочные
преклонный|преклонное|преклонная|преклонные
прирожденный|прирождённое|прирождённая|прирождённые
разительный|разительное|разительная|разительные
райский|райское|райская|райские
рекордный|рекордное|рекордная|рекордные
свинцовый|свинцовое|свинцовая|свинцовые
седой|седое|седая|седые
серьезный|серьёзное|серьёзная|серьёзные
собачий|собачье|собачья|собачьи
солидный|солидное|солидная|солидные
стальной|стальное|стальная|стальные
сумасшедший|сумасшедшее|сумасшедшая|сумасшедшие
существенный|существенное|существенная|существенные
твердый|твёрдое|твёрдая|твёрдые
трескучий|трескучее|трескучая|трескучие
убедительный|убедительное|убедительная|убедительные
убийственный|убийственное|убийственная|убийственные
удивительный|удивительное|удивительная|удивительные
ужасный|ужасное|ужасная|ужасные
феноменальный|феноменальное|феноменальная|феноменальные
форменный|форменное|форменная|форменные
чрезмерный|чрезмерное|чрезмерная|чрезмерные
щемящий|щемящее|щемящая|щемящие
экстремальный|экстремальное|экстремальная|экстремальные
яростный|яростное|яростная|яростные
адский|адское|адская|адские
активный|активное|активная|активные
антагонистический|антагонистическое|антагонистическая|антагонистические
безбрежный|безбрежное|безбрежная|безбрежные
беззаветный|беззаветное|беззаветная|беззаветные
безмерный|безмерное|безмерная|безмерные
безотлагательный|безотлагательное|безотлагательная|безотлагательные
безумный|безумное|безумная|безумные
безусловный|безусловное|безусловная|безусловные
безутешный|безутешное|безутешная|безутешные
белоснежный|белоснежное|белоснежная|белоснежные
бесповоротный|бесповоротное|бесповоротная|бесповоротные
беспрецедентный|беспрецедентное|беспрецедентная|беспрецедентные
беспробудный|беспробудное|беспробудная|беспробудные
бессовестный|бессовестное|бессовестная|бессовестные
бесчисленный|бесчисленное|бесчисленная|бесчисленные
богатый|богатое|богатая|богатые
веский|веское|веская|веские
внушительный|внушительное|внушительная|внушительные
волчий|волчье|волчья|волчьи
всесильный|всесильное|всесильная|всесильные
высший|высшее|высшая|высшие
громкий|громкое|громкая|громкие
грубый|грубое|грубая|грубые
диаметральный|диаметральное|диаметральная|диаметральные
доскональный|доскональное|доскональная|доскональные
дьявольский|дьявольское|дьявольская|дьявольские
жесточайший|жесточайшее|жесточайшая|жесточайшие
животный|животное|животная|животные
жуткий|жуткое|жуткая|жуткие
замечательный|замечательное|замечательная|замечательные
запредельный|запредельное|запредельная|запредельные
злостный|злостное|злостная|злостные
идеальный|идеальное|идеальная|идеальные
изумительный|изумительное|изумительная|изумительные
истовый|истовое|истовая|истовые
кардинальный|кардинальное|кардинальная|кардинальные
категорический|категорическое|категорическая|категорические
колоссальный|колоссальное|колоссальная|колоссальные
крепкий|крепкое|крепкая|крепкие
кричащий|кричáщее|кричáщая|кричáщие
массовый|массовое|массовая|массовые
матерый|матёрое|матёрая|матёрые
мертвецкий|мертвецкое|мертвецкая|мертвецкие
наглядный|наглядное|наглядная|наглядные
надрывный|надрывное|надрывная|надрывные
наивысший|наивысшее|наивысшая|наивысшие
настоятельный|настоятельное|настоятельная|настоятельные
насущный|насущное|насущная|насущные
невероятный|невероятное|невероятная|невероятные
невозможный|невозможное|невозможная|невозможные
невыразимый|невыразимое|невыразимая|невыразимые
недосягаемый|недосягаемое|недосягаемая|недосягаемые
неизмеримый|неизмеримое|неизмеримая|неизмеримые
неиссякаемый|неиссякаемое|неиссякаемая|неиссякаемые
неистощимый|неистощимое|неистощимая|неистощимые
неисходный|неисходное|неисходная|неисходные
неисчислимый|неисчислимое|неисчислимая|неисчислимые
немалый|немалое|немалая|немалые
немой|немое|немая|немые
ненасытный|ненасытное|ненасытная|ненасытные
необузданный|необузданное|необузданная|необузданные
неодолимый|неодолимое|неодолимая|неодолимые
неопровержимый|неопровержимое|неопровержимая|неопровержимые
неотразимый|неотразимое|неотразимая|неотразимые
непобедимый|непобедимое|непобедимая|непобедимые
непогрешимый|непогрешимое|непогрешимая|непогрешимые
непоколебимый|непоколебимое|непоколебимая|непоколебимые
непревзойденный|непревзойдённое|непревзойдённая|непревзойдённые
непримиримый|непримиримое|непримиримая|непримиримые
непробудный|непробудное|непробудная|непробудные
непролазный|непролазное|непролазная|непролазные
неразрывный|неразрывное|неразрывная|неразрывные
несгибаемый|несгибаемое|несгибаемая|несгибаемые
неслыханный|неслыханное|неслыханная|неслыханные
несокрушимый|несокрушимое|несокрушимая|несокрушимые
неудержимый|неудержимое|неудержимая|неудержимые
неуклонный|неуклонное|неуклонная|неуклонные
неукротимый|неукротимое|неукротимая|неукротимые
неутешный|неутешное|неутешная|неутешные
неутомимый|неутомимое|неутомимая|неутомимые
обильный|обильное|обильная|обильные
образцовый|образцовое|образцовая|образцовые
огромный|огромное|огромная|огромные
олимпийский|олимпийское|олимпийская|олимпийские
ослиный|ослиное|ослиная|ослиные
остервенелый|остервенелое|остервенелая|остервенелые
отменный|отменное|отменная|отменные
отчаянный|отчаянное|отчаянная|отчаянные
патологический|патологическое|патологическая|патологические
первоклассный|первоклассное|первоклассная|первоклассные
пламенный|пламенное|пламенная|пламенные
поголовный|поголовное|поголовная|поголовные
подлинный|подлинное|подлинная|подлинные
предельный|предельное|предельная|предельные
преступный|преступное|преступная|преступные
принципиальный|принципиальное|принципиальная|принципиальные
прожженный|прожжённое|прожжённая|прожжённые
пронзительный|пронзительное|пронзительная|пронзительные
радикальный|радикальное|радикальная|радикальные
ревностный|ревностное|ревностная|ревностные
редкий|редкое|редкая|редкие
сатанинский|сатанинское|сатанинская|сатанинские
сверхъестественный|сверхъестественное|сверхъестественная|сверхъестественные
свирепый|свирепое|свирепая|свирепые
сказочный|сказочное|сказочная|сказочные
сногсшибательный|сногсшибательное|сногсшибательная|сногсшибательные
сплошной|сплошное|сплошная|сплошные
стопроцентный|стопроцентное|стопроцентная|стопроцентные
страшный|страшное|страшная|страшные
строжайший|строжайшее|строжайшая|строжайшие
суровый|суровое|суровая|суровые
тотальный|тотальное|тотальная|тотальные
тяжкий|тяжкое|тяжкая|тяжкие
убежденный|убеждённое|убеждённая|убеждённые
уважительный|уважительное|уважительная|уважительные
ужасающий|ужасающее|ужасающая|ужасающие
умопомрачительный|умопомрачительное|умопомрачительная|умопомрачительные
фантастический|фантастическое|фантастическая|фантастические
филигранный|филигранное|филигранная|филигранные
фундаментальный|фундаментальное|фундаментальная|фундаментальные
чертовский|чертовское|чертовская|чертовские
чрезвычайный|чрезвычайное|чрезвычайная|чрезвычайные
чудовищный|чудовищное|чудовищная|чудовищные
широкомасштабный|широкомасштабное|широкомасштабная|широкомасштабные
штормовой|штормовое|штормовая|штормовые
щедрый|щедрое|щедрая|щедрые
ярый|ярое|ярая|ярые
государственный|государственное|государственная|государственные
настоящий|настоящее|настоящая|настоящие
всякий|всякое|всякая|всякие
собственный|собственное|собственная|собственные
многий|многое|многая|многие
ранний|раннее|ранняя|ранние
равный|равное|равная|равные
известный|известное|известная|известные
следующий|следующее|следующая|следующие
скорый|скорое|скорая|скорые
готовый|готовое|готовая|готовые
социальный|социальное|социальная|социальные
подобный|подобное|подобная|подобные
современный|современное|современная|современные
серьезный|серьёзное|серьёзная|серьёзные
федеральный|федеральное|федеральная|федеральные
особый|особое|особая|особые
внутренний|внутреннее|внутренняя|внутренние
различный|различное|различная|различные
единственный|единственное|единственная|единственные
похожий|похожее|похожая|похожие
американский|американское|американская|американские
небольшой|небольшое|небольшая|небольшие
знакомый|знакомое|знакомая|знакомые
общественный|общественное|общественная|общественные
определенный|определённое|определённая|определённые
интересный|интересное|интересная|интересные
отдельный|отдельное|отдельная|отдельные
возможный|возможное|возможная|возможные
красивый|красивое|красивая|красивые
научный|научное|научная|научные
остальной|остальное|остальная|остальные
низкий|низкое|низкая|низкие
старший|старшее|старшая|старшие
специальный|специальное|специальная|специальные
финансовый|финансовое|финансовая|финансовые
детский|детское|детская|детские
гражданский|гражданское|гражданская|гражданские
странный|странное|странная|странные
способный|способное|способная|способные
обычный|обычное|обычная|обычные
внешний|внешнее|внешняя|внешние
прекрасный|прекрасное|прекрасная|прекрасные
исторический|историческое|историческая|исторические
судебный|судебное|судебная|судебные
народный|народное|народная|народные
боевой|боевое|боевая|боевые
любимый|любимое|любимая|любимые
уверенный|уверенное|уверенная|уверенные
очередной|очередное|очередная|очередные
быстрый|быстрое|быстрая|быстрые
дальнейший|дальнейшее|дальнейшая|дальнейшие
иностранный|иностранное|иностранная|иностранные
точный|точное|точная|точные
центральный|центральное|центральная|центральные
соответствующий|соответствующее|соответствующая|соответствующие
значительный|значительное|значительная|значительные
информационный|информационное|информационная|информационные
слабый|слабое|слабая|слабые
мелкий|мелкое|мелкая|мелкие
счастливый|счастливое|счастливая|счастливые
европейский|европейское|европейская|европейские
частный|частное|частная|частные
отечественный|отечественное|отечественная|отечественные
естественный|естественное|естественная|естественные
постоянный|постоянное|постоянная|постоянные
прежний|прежнее|прежняя|прежние
административный|административное|административная|административные
женский|женское|женская|женские
официальный|официальное|официальная|официальные
французский|французское|французская|французские
правовой|правовое|правовая|правовые
дополнительный|дополнительное|дополнительная|дополнительные
региональный|региональное|региональная|региональные
умный|умное|умная|умные
летний|летнее|летняя|летние
здоровый|здоровое|здоровая|здоровые
налоговый|налоговое|налоговая|налоговые
уголовный|уголовное|уголовная|уголовные
взрослый|взрослое|взрослая|взрослые
северный|северное|северная|северные
замечательный|замечательное|замечательная|замечательные
милый|милое|милая|милые
задний|заднее|задняя|задние
творческий|творческое|творческая|творческие
трудный|трудное|трудная|трудные
мягкий|мягкое|мягкая|мягкие
литературный|литературное|литературная|литературные
обязанный|обязанное|обязанная|обязанные
морской|морское|морская|морские
спокойный|спокойное|спокойная|спокойные
ночной|ночное|ночная|ночные
учебный|учебное|учебная|учебные
медицинский|медицинское|медицинская|медицинские
промышленный|промышленное|промышленная|промышленные
свежий|свежее|свежая|свежие
крепкий|крепкое|крепкая|крепкие
полезный|полезное|полезная|полезные
природный|природное|природная|природные
партийный|партийное|партийная|партийные
православный|православное|православная|православные
совместный|совместное|совместная|совместные
материальный|материальное|материальная|материальные
приятный|приятное|приятная|приятные
семейный|семейное|семейная|семейные
транспортный|транспортное|транспортная|транспортные
торговый|торговое|торговая|торговые
удивительный|удивительное|удивительная|удивительные
мужской|мужское|мужская|мужские
некоторые|некоторое|некоторая|некоторые
практический|практическое|практическая|практические
существенный|существенное|существенная|существенные
невозможный|невозможное|невозможная|невозможные
трудовой|трудовое|трудовая|трудовые
младший|младшее|младшая|младшие
спортивный|спортивное|спортивная|спортивные
религиозный|религиозное|религиозная|религиозные
пьяный|пьяное|пьяная|пьяные
обязательный|обязательное|обязательная|обязательные
коммерческий|коммерческое|коммерческая|коммерческие
дешевый|дешёвое|дешёвая|дешёвые
неизвестный|неизвестное|неизвестная|неизвестные
вооруженный|вооружённое|вооружённая|вооружённые
китайский|китайское|китайская|китайские
денежный|денежное|денежная|денежные
истинный|истинное|истинная|истинные
неожиданный|неожиданное|неожиданная|неожиданные
последующий|последующее|последующая|последующие
удобный|удобное|удобная|удобные
положительный|положительное|положительная|положительные
воздушный|воздушное|воздушная|воздушные
твердый|твёрдое|твёрдая|твёрдые
театральный|театральное|театральная|театральные
характерный|характерное|характерная|характерные
ценный|ценное|ценная|ценные
предыдущий|предыдущее|предыдущая|предыдущие
земной|земное|земная|земные
арбитражный|арбитражное|арбитражная|арбитражные
строительный|строительное|строительная|строительные
минимальный|минимальное|минимальная|минимальные
привычный|привычное|привычная|привычные
солнечный|солнечное|солнечная|солнечные
несчастный|несчастное|несчастная|несчастные
школьный|школьное|школьная|школьные
юный|юное|юная|юные
независимый|независимое|независимая|независимые
случайный|случайное|случайная|случайные
видный|видное|видная|видные
аналогичный|аналогичное|аналогичная|аналогичные
честный|честное|честная|честные
муниципальный|муниципальное|муниципальная|муниципальные
одинаковый|одинаковое|одинаковая|одинаковые
бюджетный|бюджетное|бюджетная|бюджетные
непонятный|непонятное|непонятная|непонятные
церковный|церковное|церковная|церковные
стратегический|стратегическое|стратегическая|стратегические
верховный|верховное|верховная|верховные
очевидный|очевидное|очевидная|очевидные
химический|химическое|химическая|химические
чеченский|чеченское|чеченская|чеченские
скромный|скромное|скромная|скромные
еврейский|еврейское|еврейская|еврейские
демократический|демократическое|демократическая|демократические
законный|законное|законная|законные
талантливый|талантливое|талантливая|талантливые
направленный|направленное|направленная|направленные
ядерный|ядерное|ядерная|ядерные
громкий|громкое|громкая|громкие
самостоятельный|самостоятельное|самостоятельная|самостоятельные
прозрачный|прозрачное|прозрачная|прозрачные
ужасный|ужасное|ужасная|ужасные
зимний|зимнее|зимняя|зимние
рекламный|рекламное|рекламная|рекламные
статистический|статистическое|статистическая|статистические
экологический|экологическое|экологическая|экологические
пожилой|пожилое|пожилая|пожилые
ответственный|ответственное|ответственная|ответственные
заметный|заметное|заметная|заметные
заинтересованный|заинтересованное|заинтересованная|заинтересованные
нервный|нервное|нервная|нервные
незнакомый|незнакомое|незнакомая|незнакомые
нравственный|нравственное|нравственная|нравственные
одинокий|одинокое|одинокая|одинокие
интеллектуальный|интеллектуальное|интеллектуальная|интеллектуальные
президентский|президентское|президентская|президентские
уважаемый|уважаемое|уважаемая|уважаемые
законодательный|законодательное|законодательная|законодательные
инвестиционный|инвестиционное|инвестиционная|инвестиционные
нормативный|нормативное|нормативная|нормативные
коммунальный|коммунальное|коммунальная|коммунальные
объективный|объективное|объективная|объективные
пенсионный|пенсионное|пенсионная|пенсионные
теоретический|теоретическое|теоретическая|теоретические
грубый|грубое|грубая|грубые
земельный|земельное|земельная|земельные
недавний|недавнее|недавняя|недавние
обыкновенный|обыкновенное|обыкновенная|обыкновенные
страховой|страховое|страховая|страховые
окружающий|окружающее|окружающая|окружающие
моральный|моральное|моральная|моральные
процессуальный|процессуальное|процессуальная|процессуальные
служебный|служебное|служебная|служебные
необычный|необычное|необычная|необычные
подлинный|подлинное|подлинная|подлинные
христианский|христианское|христианская|христианские
итальянский|итальянское|итальянская|итальянские
непосредственный|непосредственное|непосредственная|непосредственные
оперативный|оперативное|оперативная|оперативные
печальный|печальное|печальная|печальные
всеобщий|всеобщее|всеобщая|всеобщие
идеальный|идеальное|идеальная|идеальные
успешный|успешное|успешная|успешные
банковский|банковское|банковская|банковские
своеобразный|своеобразное|своеобразная|своеобразные
философский|философское|философская|философские
столичный|столичное|столичная|столичные
коммунистический|коммунистическое|коммунистическая|коммунистические
душевный|душевное|душевная|душевные
доступный|доступное|доступная|доступные
выгодный|выгодное|выгодная|выгодные
актуальный|актуальное|актуальная|актуальные
сумасшедший|сумасшедшее|сумасшедшая|сумасшедшие
социалистический|социалистическое|социалистическая|социалистические
экспериментальный|экспериментальное|экспериментальная|экспериментальные
плотный|плотное|плотная|плотные
нефтяной|нефтяное|нефтяная|нефтяные
невероятный|невероятное|невероятная|невероятные
конституционный|конституционное|конституционная|конституционные
ровный|ровное|ровная|ровные
суровый|суровое|суровая|суровые
бледный|бледное|бледная|бледные
отрицательный|отрицательное|отрицательная|отрицательные
справедливый|справедливое|справедливая|справедливые
блестящий|блестящее|блестящая|блестящие
газовый|газовое|газовая|газовые
вечерний|вечернее|вечерняя|вечерние
глобальный|глобальное|глобальная|глобальные
взаимный|взаимное|взаимная|взаимные
украинский|украинское|украинская|украинские
священный|священное|священная|священные
искусственный|искусственное|искусственная|искусственные
кредитный|кредитное|кредитная|кредитные
структурный|структурное|структурная|структурные
таможенный|таможенное|таможенная|таможенные
автомобильный|автомобильное|автомобильная|автомобильные
божественный|божественное|божественная|божественные
идеологический|идеологическое|идеологическая|идеологические
коллективный|коллективное|коллективная|коллективные
психический|психическое|психическая|психические
оригинальный|оригинальное|оригинальная|оригинальные
великолепный|великолепное|великолепная|великолепные
дорожный|дорожное|дорожная|дорожные
ленинградский|ленинградское|ленинградская|ленинградские
невидимый|невидимое|невидимая|невидимые
ограниченный|ограниченное|ограниченная|ограниченные
сплошной|сплошное|сплошная|сплошные
принципиальный|принципиальное|принципиальная|принципиальные
предстоящий|предстоящее|предстоящая|предстоящие
атомный|атомное|атомная|атомные
гигантский|гигантское|гигантская|гигантские
программный|программное|программная|программные
давний|давнее|давняя|давние
территориальный|территориальное|территориальная|территориальные
правительственный|правительственное|правительственная|правительственные
критический|критическое|критическая|критические
седой|седое|седая|седые
негативный|негативное|негативная|негативные
выдающийся|выдающееся|выдающаяся|выдающиеся
трагический|трагическое|трагическая|трагические
необыкновенный|необыкновенное|необыкновенная|необыкновенные
полицейский|полицейское|полицейская|полицейские
повышенный|повышенное|повышенная|повышенные
головной|головное|головная|головные
начальный|начальное|начальная|начальные
мрачный|мрачное|мрачная|мрачные
распространенный|распространённое|распространённая|распространённые
авиационный|авиационное|авиационная|авиационные
организованный|организованное|организованная|организованные
самарский|самарское|самарская|самарские
вредный|вредное|вредная|вредные
математический|математическое|математическая|математические
стандартный|стандартное|стандартная|стандартные
сельскохозяйственный|сельскохозяйственное|сельскохозяйственная|сельскохозяйственные
славный|славное|славная|славные
незаконный|незаконное|незаконная|незаконные
чудесный|чудесное|чудесная|чудесные
почетный|почётное|почётная|почётные
неведомый|неведомое|неведомая|неведомые
неплохой|неплохое|неплохая|неплохие
районный|районное|районная|районные
жалкий|жалкое|жалкая|жалкие
биологический|биологическое|биологическая|биологические
торжественный|торжественное|торжественная|торжественные
таинственный|таинственное|таинственная|таинственные
книжный|книжное|книжная|книжные
противный|противное|противная|противные
британский|британское|британская|британские
громадный|громадное|громадная|громадные
силовой|силовое|силовая|силовые
посторонний|постороннее|посторонняя|посторонние
германский|германское|германская|германские
погибший|погибшее|погибшая|погибшие
лишенный|лишённое|лишённая|лишённые
механический|механическое|механическая|механические
натуральный|натуральное|натуральная|натуральные
немалый|немалое|немалая|немалые
симпатичный|симпатичное|симпатичная|симпатичные
тогдашний|тогдашнее|тогдашняя|тогдашние
праздничный|праздничное|праздничная|праздничные
грустный|грустное|грустная|грустные
либеральный|либеральное|либеральная|либеральные
покойный|покойное|покойная|покойные
функциональный|функциональное|функциональная|функциональные
сталинский|сталинское|сталинская|сталинские
проклятый|проклятое|проклятая|проклятые
солидный|солидное|солидная|солидные
всемирный|всемирное|всемирная|всемирные
тяжкий|тяжкое|тяжкая|тяжкие
кривой|кривое|кривая|кривые
загадочный|загадочное|загадочная|загадочные
пермский|пермское|пермская|пермские
ракетный|ракетное|ракетная|ракетные
напряженный|напряжённое|напряжённая|напряжённые
универсальный|универсальное|универсальная|универсальные
недовольный|недовольное|недовольная|недовольные
смелый|смелое|смелая|смелые
животный|животное|животная|животные
жуткий|жуткое|жуткая|жуткие
гениальный|гениальное|гениальная|гениальные
годовой|годовое|годовая|годовые
деревенский|деревенское|деревенская|деревенские
пушкинский|пушкинское|пушкинская|пушкинские
благоприятный|благоприятное|благоприятная|благоприятные
педагогический|педагогическое|педагогическая|педагогические
нелепый|нелепое|нелепая|нелепые
передовой|передовое|передовая|передовые
квадратный|квадратное|квадратная|квадратные
формальный|формальное|формальная|формальные
осторожный|осторожное|осторожная|осторожные
служащий|служащее|служащая|служащие
кровавый|кровавое|кровавая|кровавые
наивный|наивное|наивная|наивные
коренной|коренное|коренная|коренные
геологический|геологическое|геологическая|геологические
внимательный|внимательное|внимательная|внимательные
безопасный|безопасное|безопасная|безопасные
искренний|искреннее|искренняя|искренние
медленный|медленное|медленная|медленные
жирный|жирное|жирная|жирные
медный|медное|медная|медные
значимый|значимое|значимая|значимые
правоохранительный|пра̀воохранительное|пра̀воохранительная|пра̀воохранительные
кремлевский|кремлёвское|кремлёвская|кремлёвские
подходящий|подходящее|подходящая|подходящие
рациональный|рациональное|рациональная|рациональные
преступный|преступное|преступная|преступные
присущий|присущее|присущая|присущие
товарный|товарное|товарная|товарные
фантастический|фантастическое|фантастическая|фантастические
непростой|непростое|непростая|непростые
прочный|прочное|прочная|прочные
секретный|секретное|секретная|секретные
стальной|стальное|стальная|стальные
незначительный|незначительное|незначительная|незначительные
организационный|организационное|организационная|организационные
корпоративный|корпоративное|корпоративная|корпоративные
драгоценный|драгоценное|драгоценная|драгоценные
безумный|безумное|безумная|безумные
пожарный|пожарное|пожарная|пожарные
ленинский|ленинское|ленинская|ленинские
мобильный|мобильное|мобильная|мобильные
автономный|автономное|автономная|автономные
обширный|обширное|обширная|обширные
целевой|целевое|целевая|целевые
снежный|снежное|снежная|снежные
подробный|подробное|подробная|подробные
склонный|склонное|склонная|склонные
специализированный|специализированное|специализированная|специализированные
привлекательный|привлекательное|привлекательная|привлекательные
просторный|просторное|просторная|просторные
ложный|ложное|ложная|ложные
исключительный|исключительное|исключительная|исключительные
невысокий|невысокое|невысокая|невысокие
хитрый|хитрое|хитрая|хитрые
влажный|влажное|влажная|влажные
условный|условное|условная|условные
фундаментальный|фундаментальное|фундаментальная|фундаментальные
интеллигентный|интеллигентное|интеллигентная|интеллигентные
убежденный|убеждённое|убеждённая|убеждённые
аналитический|аналитическое|аналитическая|аналитические
позитивный|позитивное|позитивная|позитивные
этнический|этническое|этническая|этнические
молодежный|молодёжное|молодёжная|молодёжные
студенческий|студенческое|студенческая|студенческие
встречный|встречное|встречная|встречные
дурацкий|дурацкое|дурацкая|дурацкие
жидкий|жидкое|жидкая|жидкие
следственный|следственное|следственная|следственные
грузинский|грузинское|грузинская|грузинские
фактический|фактическое|фактическая|фактические
стабильный|стабильное|стабильная|стабильные
бумажный|бумажное|бумажная|бумажные
забавный|забавное|забавная|забавные
отчаянный|отчаянное|отчаянная|отчаянные
садовый|садовое|садовая|садовые
драматический|драматическое|драматическая|драматические
чудовищный|чудовищное|чудовищная|чудовищные
откровенный|откровенное|откровенная|откровенные
парламентский|парламентское|парламентская|парламентские
ненужный|ненужное|ненужная|ненужные
комсомольский|комсомольское|комсомольская|комсомольские
альтернативный|альтернативное|альтернативная|альтернативные
милицейский|милицейское|милицейская|милицейские
чрезвычайный|чрезвычайное|чрезвычайная|чрезвычайные
собачий|собачье|собачья|собачьи
всевозможный|всевозможное|всевозможная|всевозможные
уютный|уютное|уютная|уютные
усталый|усталое|усталая|усталые
стройный|стройное|стройная|стройные
неясный|неясное|неясная|неясные
звездный|звёздное|звёздная|звёздные
магнитный|магнитное|магнитная|магнитные
почтовый|почтовое|почтовая|почтовые
новенький|новенькое|новенькая|новенькие
неверный|неверное|неверная|неверные
арабский|арабское|арабская|арабские
олимпийский|олимпийское|олимпийская|олимпийские
агрессивный|агрессивное|агрессивная|агрессивные
славянский|славянское|славянская|славянские
крестьянский|крестьянское|крестьянская|крестьянские
престижный|престижное|престижная|престижные
невыносимый|невыносимое|невыносимая|невыносимые
средневековый|средневековое|средневековая|средневековые
всероссийский|всероссийское|всероссийская|всероссийские
королевский|королевское|королевская|королевские
минеральный|минеральное|минеральная|минеральные
академический|академическое|академическая|академические
срочный|срочное|срочная|срочные
дневной|дневное|дневная|дневные
болезненный|болезненное|болезненная|болезненные
интенсивный|интенсивное|интенсивная|интенсивные
радикальный|радикальное|радикальная|радикальные
географический|географическое|географическая|географические
лысый|лысое|лысая|лысые
иркутский|иркутское|иркутская|иркутские
верующий|верующее|верующая|верующие
умерший|умершее|умершая|умершие
полноценный|полноценное|полноценная|полноценные
патриотический|патриотическое|патриотическая|патриотические
саратовский|саратовское|саратовская|саратовские
здешний|здешнее|здешняя|здешние
потребительский|потребительское|потребительская|потребительские
уличный|уличное|уличная|уличные
